time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
10.4,0.0229,0.0152,0.0288,0.0327,0.0614,0.0164,0.0473,0.0975
10.45,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0458,0.0959
10.5,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0442,0.0959
10.55,0.0229,0.0152,0.0303,0.0327,0.0614,0.0164,0.0442,0.0944
10.6,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
10.65,0.0229,0.0167,0.0288,0.0312,0.0614,0.0164,0.0473,0.0975
10.7,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0442,0.0975
10.75,0.0229,0.0152,0.0288,0.0312,0.0614,0.0164,0.0442,0.0959
10.8,0.0229,0.0167,0.0273,0.0327,0.0598,0.0164,0.0458,0.0944
10.85,0.0244,0.0152,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
10.9,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0442,0.0944
10.95,0.0229,0.0167,0.0288,0.0327,0.0598,0.0179,0.0458,0.0959
11.0,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0442,0.0944
11.05,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
11.1,0.0229,0.0167,0.0288,0.0327,0.0614,0.0179,0.0458,0.0959
11.15,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0944
11.2,0.0229,0.0167,0.0258,0.0327,0.0614,0.0164,0.0442,0.0959
11.25,0.0244,0.0152,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
11.3,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0458,0.0975
11.35,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0442,0.0959
11.4,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
11.45,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0442,0.0944
11.5,0.0229,0.0152,0.0288,0.0327,0.0614,0.0164,0.0442,0.0944
11.55,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
11.6,0.0229,0.0167,0.0303,0.0312,0.0614,0.0164,0.0473,0.0959
11.65,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0427,0.0975
11.7,0.0244,0.0167,0.0318,0.0342,0.0614,0.0164,0.0458,0.0944
11.75,0.0229,0.0167,0.0303,0.0358,0.0614,0.0164,0.0458,0.0959
11.8,0.0244,0.0167,0.0303,0.0327,0.0614,0.0164,0.0458,0.0944
11.85,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0975
11.9,0.0244,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0959
11.95,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0975
12.0,0.0244,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0959
12.05,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0473,0.0959
12.1,0.0229,0.0167,0.0288,0.0358,0.0614,0.0164,0.0473,0.0975
12.15,0.0229,0.0167,0.0303,0.0358,0.0614,0.0164,0.0473,0.0959
12.2,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0975
12.25,0.0229,0.0167,0.0303,0.0358,0.0629,0.0179,0.0473,0.0975
12.3,0.0229,0.0167,0.0303,0.0342,0.0614,0.0179,0.0473,0.0975
12.35,0.0259,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0975
12.4,0.0244,0.0167,0.0318,0.0358,0.0614,0.0179,0.0488,0.099
12.45,0.0244,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0975
12.5,0.0229,0.0167,0.0303,0.0358,0.0629,0.0164,0.0473,0.0975
12.55,0.0244,0.0167,0.0303,0.0373,0.0614,0.0164,0.0473,0.099
12.6,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0473,0.0975
12.65,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0473,0.0959
12.7,0.0229,0.0167,0.0288,0.0358,0.0629,0.0164,0.0473,0.0975
12.75,0.0229,0.0167,0.0303,0.0342,0.0614,0.0179,0.0473,0.0959
12.8,0.0229,0.0167,0.0303,0.0373,0.0614,0.0164,0.0473,0.0975
12.85,0.0229,0.0167,0.0288,0.0358,0.0614,0.0164,0.0473,0.0975
12.9,0.0244,0.0182,0.0303,0.0327,0.0614,0.0164,0.0458,0.0959
12.95,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0458,0.099
13.0,0.0244,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0959
13.05,0.0244,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0975
13.1,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0959
13.15,0.0244,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0959
13.2,0.0229,0.0167,0.0288,0.0327,0.0598,0.0164,0.0458,0.0944
13.25,0.0229,0.0152,0.0288,0.0327,0.0614,0.0164,0.0442,0.0944
13.3,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0959
13.35,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0959
13.4,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0473,0.0975
13.45,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0944
13.5,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0458,0.0975
13.55,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0442,0.0975
13.6,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0458,0.0975
13.65,0.0229,0.0152,0.0288,0.0342,0.0614,0.0164,0.0427,0.0959
13.7,0.0244,0.0152,0.0303,0.0342,0.0598,0.0164,0.0442,0.0959
13.75,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0442,0.0975
13.8,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0975
13.85,0.0244,0.0167,0.0288,0.0342,0.0614,0.0164,0.0442,0.0959
13.9,0.0229,0.0152,0.0288,0.0327,0.0614,0.0164,0.0442,0.0975
13.95,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
14.0,0.0229,0.0152,0.0303,0.0327,0.0614,0.0164,0.0458,0.0959
14.05,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
14.1,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0959
14.15,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0959
14.2,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0458,0.0959
14.25,0.0229,0.0152,0.0273,0.0358,0.0614,0.0164,0.0458,0.0959
14.3,0.0229,0.0152,0.0288,0.0327,0.0614,0.0164,0.0442,0.0944
14.35,0.0229,0.0152,0.0273,0.0342,0.0614,0.0164,0.0458,0.0959
14.4,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0442,0.0944
14.45,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
14.5,0.0229,0.0152,0.0273,0.0312,0.0614,0.0148,0.0442,0.0944
